Micro-dial Adjustments (mm),Voltages Case 2 mV),Voltages Case 3 (mV),Voltage Case 4 (mV)
0,7.8,7.7,7.8
0.1,7.8,7.8,7.8
0.2,7.8,7.8,7.8
0.3,7.8,7.8,7.9
0.4,7.8,7.8,7.9
0.5,7.8,7.8,7.9
0.6,7.8,7.9,7.9
0.7,7.8,7.9,7.8
0.8,7.8,7.9,7.8
0.9,7.9,7.9,7.8
1,7.9,7.9,7.8
1.1,8,8,7.8
1.2,8.1,8.2,7.8
1.3,8.3,8.4,7.9
1.4,8.5,8.6,7.9
1.5,8.9,8.6,7.9
1.6,9.8,8.4,7.9
1.7,12,8.4,8
1.8,14.5,10.4,8.1
1.9,17.2,20.8,8.1
2,20,36.1,8.3
2.1,22.6,50.3,8.5
2.2,25.6,58.5,8.8
2.3,28.6,53.6,9.6
2.4,31.5,38.4,11.3
2.5,34.3,19.1,13.6
2.6,36.9,9,15.6
2.7,39.4,16,18.1
2.8,41.6,46.8,20.6
2.9,43.8,90.5,23.2
3,45.6,127.2,25.7
3.1,47.3,145.1,28.3
3.2,48.6,133.9,30.8
3.3,49.8,94.5,33.5
3.4,50.5,48,35.9
3.5,50.9,13.8,38.2
3.6,50.9,9.9,40.4
3.7,50.7,40.8,42.4
3.8,50.4,96.6,44.5
3.9,50.1,153.1,46.5
4,49.2,188.1,48.2
4.1,48.2,185.6,49.8
4.2,46.6,144.5,50.7
4.3,44,85.2,50.6
4.4,42.2,33.4,51.3
4.5,39.6,9,51
4.6,37.5,19.2,51.1
4.7,35,58.2,50.7
4.8,31.8,102.9,49.4
4.9,29.1,130.5,47.9
5,26.4,140,46.6
5.1,23.7,118,45
5.2,21.1,78.6,43.2
5.3,18.4,42.1,41.1
5.4,16.1,15.5,38.7
5.5,13.9,9.7,36.7
5.6,11.8,19.6,34.3
5.7,10,37.6,31.8
5.8,9,51.5,29.2
5.9,8.6,56.3,26.8
6,8.3,50.1,24.1
6.1,8.2,37.2,21.6
6.2,8.1,23,19
6.3,8,13.4,16.4
6.4,7.9,9.3,14.3
6.5,7.9,9.1,12.2
6.6,7.9,9.4,10.4
6.7,7.9,9.3,9.1
6.8,7.8,8.9,8.7
6.9,7.8,8.4,8.4
7,7.8,8.2,8.2
7.1,7.8,8.1,8.1
7.2,7.8,8.1,8
7.3,7.9,8.1,8
7.4,7.9,8.1,7.9
7.5,7.9,8,7.9
7.6,7.9,8,7.8
7.7,7.9,7.9,7.8
7.8,7.9,7.9,7.8
7.9,7.9,7.9,7.8
8,7.9,7.9,7.8
8.1,7.9,7.9,7.8
8.2,7.9,7.9,7.8
8.3,7.9,7.8,7.8
8.4,7.9,7.8,7.8
8.5,7.9,7.8,7.8
8.6,7.9,7.8,7.8
8.7,7.9,7.8,7.8
8.8,7.9,7.8,7.8
8.9,7.9,7.8,7.8
9,7.9,7.8,7.8
9.1,7.9,7.8,7.8
9.2,7.9,7.8,7.8
9.3,7.9,7.8,7.8
9.4,7.9,7.8,7.8
9.5,7.9,7.8,7.8
9.6,7.9,7.8,7.8
9.7,7.9,7.8,7.8
9.8,7.9,7.8,7.8
9.9,7.9,7.8,7.8
10,7.9,7.7,7.8