Position of MicroDial by Detector (mm),Average Photon Count Rate for 5 Rates Case 3 (Both Open Middle Dial) (Hz),Average Photon Count Rate for 5 Rates Case 2 (Left Open Middle Dial) (Hz),Average Photon Count Rate for 5 Rates Case 4 (Right Open Middle Dial) (Hz),Case 5 (both slits closed)
0,2.2,3.2,1.4,1.8
0.1,2.2,2.2,1.8,2.2
0.2,2.4,1.8,0.4,1
0.3,3.4,2.6,1.6,1.2
0.4,4.4,2.2,2.8,1
0.5,3,2,1.6,1.4
0.6,2.6,1.6,2,0.8
0.7,2,1.8,1.4,0.8
0.8,2.2,2.4,1.8,1.6
0.9,3.2,2.6,1.6,1.4
1,2.6,2.6,1.8,1.4
1.1,3,2.4,1.4,1.8
1.2,3.6,3,2.4,1.8
1.3,2.6,1.8,0.8,1.4
1.4,2.8,1.8,1.8,1
1.5,3.6,3.2,2,2.8
1.6,2.8,2.8,1.4,1.4
1.7,2.4,3.2,1.2,2.2
1.8,2.2,5.2,1.8,0.8
1.9,3.4,4.2,2.6,1.8
2,4.4,4.2,0.6,1.8
2.1,3,3.6,1,1.2
2.2,4,4.4,1.6,2
2.3,3.8,5.4,1.6,1.6
2.4,4.2,5.6,1.6,1.6
2.5,6.8,6.2,1.6,1.6
2.6,11.4,8.2,3.6,2
2.7,12.6,7.2,2.6,1.8
2.8,15.6,7.4,2.4,1.2
2.9,7.8,11.2,3,1.2
3,4.8,11.8,2.4,2.6
3.1,6,11,3.8,1.8
3.2,12.6,10.6,6,1.6
3.3,19.6,13.2,4.4,2
3.4,21.8,11.9,7.6,1
3.5,26.4,13.2,6.4,2.2
3.6,20.4,10.8,4.2,1.6
3.7,17.2,11.8,7.8,2.6
3.8,7.6,10,8.6,1
3.9,8.8,12.8,7.6,2.6
4,15.8,11.6,10.2,0.4
4.1,22.4,12.8,8.4,2
4.2,38.4,13.2,9.6,2
4.3,35,11.6,9,0.8
4.4,24.6,11.6,10,2
4.5,13.4,9.6,10.4,1.8
4.6,7.6,12.4,12.8,1.2
4.7,7.8,8.6,11.2,1.4
4.8,14.8,7.6,11.6,1.8
4.9,20.8,5.2,12.6,1
5,22,6.6,9.4,2
5.1,27.4,4.4,9.8,1.2
5.2,16.2,6.2,9,2
5.3,8.8,4.2,12.6,0.8
5.4,4.6,3.2,7.2,1.2
5.5,6,6,8.2,1.2
5.6,11,4.6,8.2,1.2
5.7,12.8,4.4,5.6,1.4
5.8,8.4,3,5.8,1.2
5.9,8.6,2.8,7.8,2.2
6,7.4,3,2.8,1.4
6.1,6,2.8,6,1.8
6.2,3.2,1.6,5.6,1
6.3,2.4,1.8,3.2,1.2
6.4,4,2.2,2,1.2
6.5,4.8,2,3.4,1.4
6.6,3.6,1.8,1.8,1.8
6.7,4,2.4,2.4,1.2
6.8,3.6,1.8,3.2,1.4
6.9,2.6,2,2.2,0.8
7,3.6,1,0.6,1.8
7.1,3,1.6,1,2
7.2,2,2.4,1.8,1.6
7.3,3,3.4,3,1.6
7.4,1.6,2.6,1.2,1.2
7.5,2.4,2.2,0.6,1
7.6,3,2.8,0.8,3
7.7,1,1.8,1,1.8
7.8,2.8,2.6,1.6,2.4
7.9,3.6,2.4,1.6,2
8,2.4,2,2.2,2.6
8.1,3.6,2,1.4,1.4
8.2,1.8,2.8,2,1
8.3,2.6,2.2,1.2,1.8
8.4,2.2,2.8,1.4,1.6
8.5,2.4,1.8,1,1.2
8.6,2.8,1.6,1.2,0.6
8.7,1.8,2.8,1.6,1.8
8.8,1.6,1.2,1.8,1.8
8.9,2.2,2.8,1.8,0.8
9,3,1.4,1.2,1.6
9.1,1.4,2.6,1.8,1.8
9.2,2.8,4,1.8,0.4
9.3,2.4,1.6,1.2,1
9.4,1.8,2.6,1.2,2
9.5,2.2,3.2,1,1.4
9.6,2.6,3,1.4,1.8
9.7,2.4,4,2.2,2.4
9.8,4,4.8,1.6,1.4
9.9,5,4.2,1.4,1.6
10,3.2,4.4,2.6,2